book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,6,18,0,1,7,7,0,0
1,6,19,0,1,7,2,0,0
1,6,19,0,1,7,14,15,0
1,6,20,0,1,7,3,0,0
1,6,22,0,1,7,5,0,0
1,7,1,0,1,6,9,0,0
1,7,2,0,3,11,1,31,0
1,7,2,0,5,14,3,20,0
1,7,4,0,1,7,10,0,0
1,7,4,0,1,7,12,0,0
1,7,4,0,1,7,17,0,0
1,7,4,0,1,6,7,0,0
1,7,4,0,1,6,13,0,0
1,7,5,0,1,6,22,0,0
1,7,6,0,1,5,32,0,0
1,7,7,0,1,7,13,0,0
1,7,7,0,1,6,18,0,0
1,7,8,0,1,7,2,3,0
1,7,8,0,1,6,19,20,0
1,7,10,0,1,7,4,0,0
1,7,11,0,1,7,6,0,0
1,7,11,0,1,8,2,0,0
1,7,12,0,1,7,4,0,0
1,7,12,0,1,7,17,0,0
1,7,13,0,1,7,7,0,0
1,7,13,0,1,6,18,0,0
1,7,15,0,1,7,9,0,0
1,7,15,0,1,6,19,0,0
1,7,17,0,1,7,4,0,0
1,7,17,0,1,7,12,0,0
1,7,20,0,1,8,4,0,0
1,7,21,0,1,6,7,0,0
1,7,21,0,1,6,13,0,0
1,7,21,0,1,6,17,0,0
1,7,21,0,1,7,4,0,0
1,7,23,0,40,24,38,39,0
1,7,23,0,42,17,26,27,0
1,7,23,0,60,3,20,0,0
1,7,23,0,61,2,5,0,0
1,7,24,0,1,8,3,0,0
1,8,1,0,18,12,15,0,0
1,8,1,0,19,29,10,0,0
1,8,1,0,23,44,27,0,0
1,8,1,0,34,1,4,0,0
1,8,2,0,1,7,11,0,0
1,8,2,0,1,7,4,0,0
1,8,2,0,1,7,12,0,0
1,8,3,0,1,7,24,0,0
1,8,4,0,1,7,20,0,0
1,8,12,0,24,48,28,0,0
1,8,13,0,1,7,6,0,0
1,8,17,0,1,1,22,0,0
1,8,17,0,1,1,28,0,0
1,8,20,0,1,12,7,8,0
1,8,20,0,1,13,18,0,0
1,8,20,0,1,22,9,0,0
1,8,20,0,1,7,2,0,0
1,8,20,0,1,22,2,0,0
1,8,20,0,2,10,25,0,0
1,8,21,0,2,29,18,0,0
1,8,21,0,2,29,25,0,0
1,8,21,0,1,6,7,0,0
1,8,21,0,1,6,13,0,0
1,8,21,0,1,6,5,0,0
1,8,21,0,1,9,11,0,0
1,8,22,0,24,33,20,0,0
1,8,22,0,24,33,25,0,0
1,9,1,0,1,1,28,0,0
1,9,1,0,1,9,7,0,0
1,9,3,0,1,1,29,0,0
1,9,4,0,3,17,10,16,0
1,9,4,0,5,12,16,0,0
1,9,4,0,5,12,23,0,0
1,9,5,0,2,20,13,0,0
1,9,5,0,2,21,12,0,0
