book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,11,29,0,1,24,15,0,0
1,11,30,0,1,16,1,0,0
1,11,30,0,1,18,11,0,0
1,11,30,0,1,21,1,2,0
1,11,31,0,1,12,1,0,0
1,11,31,0,16,9,7,0,0
1,11,31,0,44,7,4,0,0
1,12,1,0,1,11,31,0,0
1,12,1,0,23,51,2,0,0
1,12,1,0,44,7,3,0,0
1,12,1,0,58,11,8,0,0
1,12,2,0,1,17,6,0,0
1,12,3,0,1,18,18,0,0
1,12,3,0,1,28,4,0,0
1,12,3,0,1,27,29,0,0
1,12,3,0,2,23,22,0,0
1,12,3,0,4,24,9,0,0
1,12,6,0,5,11,30,0,0
1,12,7,0,1,17,1,0,0
1,12,7,0,1,18,1,0,0
1,12,7,0,1,13,15,0,0
1,12,7,0,45,9,8,0,0
1,12,7,0,48,3,16,0,0
1,12,7,0,48,4,28,0,0
1,12,8,0,1,13,4,0,0
1,12,8,0,1,13,18,0,0
1,12,8,0,1,26,25,0,0
1,12,8,0,1,33,20,0,0
1,12,8,0,1,28,19,0,0
1,12,8,0,1,20,2,0,0
1,12,8,0,1,26,7,0,0
1,12,13,0,13,16,21,0,0
1,12,13,0,19,105,14,0,0
1,12,18,0,1,20,10,0,0
1,12,18,0,1,26,10,0,0
1,12,20,0,20,21,1,0,0
1,13,4,0,1,12,7,8,0
1,13,8,0,50,2,14,0,0
1,13,8,0,58,12,14,0,0
1,13,10,0,1,19,25,0,0
1,13,10,0,26,16,49,0,0
1,13,10,0,23,51,3,0,0
1,13,10,0,1,14,2,0,0
1,13,13,0,1,18,20,0,0
1,13,13,0,61,2,7,8,0
1,13,15,0,1,12,7,0,0
1,13,16,0,1,15,5,0,0
1,13,16,0,1,22,17,0,0
1,13,16,0,1,28,14,0,0
1,13,16,0,4,23,10,0,0
1,13,16,0,5,1,10,0,0
1,13,16,0,11,4,20,0,0
1,13,16,0,24,33,22,0,0
1,13,18,0,1,18,1,0,0
1,13,18,0,1,35,27,0,0
1,13,18,0,1,37,14,0,0
1,14,12,0,1,13,12,0,0
1,14,12,0,23,6,9,0,0
1,14,13,0,1,13,18,0,0
1,14,17,0,10,18,18,0,0
1,14,18,0,58,7,1,0,0
1,14,18,0,19,110,4,0,0
1,14,18,0,58,5,6,0,0
1,14,19,0,1,14,22,0,0
1,14,20,0,58,7,1,0,0
1,14,20,0,58,7,10,0,0
1,14,22,0,2,6,8,0,0
1,14,22,0,1,14,19,0,0
1,15,1,0,1,46,2,0,0
1,15,1,0,4,12,6,0,0
1,15,1,0,27,10,1,0,0
1,15,1,0,5,33,29,0,0
1,15,1,0,19,84,11,0,0
1,15,1,0,19,91,4,0,0
1,15,1,0,19,119,114,0,0
1,15,1,0,20,30,5,0,0
1,15,2,0,44,7,5,0,0
1,15,5,0,5,1,10,0,0
1,15,5,0,45,4,18,0,0
1,15,6,0,45,4,3,6,0
1,15,6,0,48,3,6,0,0
1,15,6,0,59,2,23,0,0
1,15,7,0,1,12,1,0,0
1,15,8,0,7,6,17,0,0
1,15,8,0,12,20,8,0,0
1,15,8,0,42,1,18,0,0
1,15,10,0,24,34,18,19,0
1,15,12,0,1,2,21,0,0
1,15,12,0,9,26,12,0,0
1,15,13,0,2,12,40,0,0
1,15,13,0,44,7,6,0,0
1,15,14,0,2,12,36,0,0
1,15,14,0,19,105,37,0,0
1,15,15,0,1,25,8,0,0
1,15,16,0,40,23,32,0,0
1,16,1,0,48,4,24,0,0
1,16,2,0,1,30,3,0,0
1,16,2,0,1,30,9,0,0
1,16,9,0,60,2,18,0,0
1,16,12,0,1,21,20,0,0
1,16,12,0,1,25,18,0,0
1,16,13,0,1,32,20,0,0
1,16,13,0,7,6,22,23,0
1,17,1,0,2,6,3,0,0
1,17,1,0,27,4,35,0,0
1,17,1,0,1,48,15,0,0
1,17,1,0,12,20,3,0,0
1,17,4,0,1,13,16,0,0
1,17,4,0,1,22,17,0,0
1,17,5,0,16,9,7,0,0
1,17,5,0,45,4,17,0,0
1,17,6,0,1,17,16,0,0
1,17,6,0,1,17,20,0,0
1,17,6,0,1,35,11,0,0
1,17,7,0,3,26,12,0,0
1,17,7,0,58,11,16,0,0
1,17,8,0,1,48,4,0,0
1,17,11,0,44,7,8,0,0
1,17,11,0,45,4,11,0,0
1,17,11,0,51,2,11,0,0
1,17,11,0,51,2,13,0,0
1,17,21,0,1,21,2,0,0
1,18,1,0,1,13,18,0,0
1,18,1,0,1,14,13,0,0
1,18,2,0,1,19,1,0,0
1,18,3,0,58,13,2,0,0
1,18,4,0,1,43,24,0,0
1,18,8,0,7,5,25,0,0
1,18,10,0,1,17,19,0,0
1,18,10,0,1,18,14,0,0
1,18,10,0,1,21,2,0,0
1,18,10,0,12,4,16,0,0
1,18,10,0,45,9,9,0,0
1,18,10,0,48,4,23,0,0
